Round,Accuracy,Total communication counts,Selected Clients,GRC Weight - Loss,GRC Weight - Diff,Accuracy - SVD,Total communication counts - SVD,Selected Clients,GRC Weight - Loss - SVD,GRC Weight - Diff - SVD
204,56.85,816,"8,1",0.427706519,0.572293481,71.04,816,"9,8",0.122440951,0.877559049
205,47.11,820,"9,3",0.381316331,0.618683669,57.21,820,"7,5",0.078626494,0.921373506
206,55.52,824,"4,2",0.612037776,0.387962224,72.44,824,"8,0",0.290518779,0.709481221
207,56.66,828,"5,1",0.456898884,0.543101116,54.42,828,"6,5",0.146581098,0.853418902
208,54.84,832,"0,3",0.560255142,0.439744858,63.09,832,"3,8",0.29948686,0.70051314
209,47.82,836,"5,7",0.402235938,0.597764062,53.89,836,"7,5",0.236927992,0.763072008
210,61.79,840,"6,8",0.313432549,0.686567451,64.76,840,"8,4",0.304264731,0.695735269
211,60.69,844,"2,5",0.309719818,0.690280182,79.49,844,"9,6",0.095714716,0.904285284
212,56.11,848,"9,4",0.299165652,0.700834348,52.29,848,"7,2",0.09892906,0.90107094
213,48.57,852,"2,7",0.415189654,0.584810346,76.75,852,"6,1",0.174452856,0.825547144
214,58.49,856,"6,0",0.333661008,0.666338992,50.75,856,"2,7",0.136897233,0.863102767
215,59.64,860,"3,5",0.516131358,0.483868642,67.43,860,"6,4",0.127527349,0.872472651
216,61.29,864,"0,9",0.42859996,0.57140004,78.34,864,"9,7",0.07502508,0.92497492
217,56.55,868,"5,4",0.492870541,0.507129459,78.66,868,"4,3",0.171760103,0.828239897
218,47.49,872,"6,2",0.462115633,0.537884367,84.47,872,"8,6",0.071056682,0.928943318
219,59.39,876,"0,1",0.527067163,0.472932837,64.42,876,"8,5",0.069736726,0.930263274
220,47.85,880,"7,5",0.427282188,0.572717812,80.07,880,"0,3",0.222168951,0.777831049
221,61.04,884,"8,9",0.334585447,0.665414553,52.6,884,"2,7",0.101730365,0.898269635
222,60.15,888,"3,1",0.453867853,0.546132147,80.65,888,"6,9",0.166317968,0.833682032
223,61.63,892,"5,2",0.412183229,0.587816771,73.61,892,"7,4",0.051177273,0.948822727
224,57.31,896,"3,4",0.359088388,0.640911612,82.98,896,"7,9",0.072801873,0.927198127
225,55.16,900,"2,5",0.463015283,0.536984717,50.77,900,"8,2",0.130249925,0.869750075
226,48.61,904,"6,3",0.309723589,0.690276411,81.61,904,"6,8",0.192200581,0.807799419
227,55.55,908,"1,4",0.573356553,0.426643447,81.62,908,"4,0",0.316393307,0.683606693
228,59.01,912,"0,8",0.380966126,0.619033874,77.05,912,"8,9",0.07925735,0.92074265
229,55.21,916,"5,3",0.527936163,0.472063837,67.3,916,"7,3",0.057514062,0.942485938
230,51.52,920,"2,6",0.423583957,0.576416043,79.98,920,"0,1",,
231,54.99,924,"3,1",0.686630236,0.313369764,59,924,"2,9",0.072658693,0.927341307
232,49.38,928,"8,2",0.415872086,0.584127914,68.92,928,"6,4",0.197898159,0.802101841
233,55.03,932,"5,3",0.48674355,0.51325645,78.53,932,"9,6",0.082245243,0.917754757
234,55.82,936,"4,7",0.451530323,0.548469677,68.62,936,"7,5",0.058130936,0.941869064
235,48.31,940,"9,3",0.364368471,0.635631529,68.71,940,"8,3",0.141204668,0.858795332
236,55.1,944,"9,0",0.410172721,0.589827279,64.6,944,"5,9",0.14531743,0.85468257
237,53.79,948,"6,4",0.401040964,0.598959036,78.99,948,"8,0",0.183603969,0.816396031
238,51.31,952,"2,9",0.366301404,0.633698596,83.74,952,"6,7",0.132265419,0.867734581
239,57.41,956,"5,3",0.5598249,0.4401751,59.86,956,"2,9",0.050372154,0.949627846
240,58.21,960,"8,1",0.404212652,0.595787348,84.1,960,"6,8",0.195680361,0.804319639
241,56.13,964,"5,3",0.627342461,0.372657539,84.05,964,"3,4",0.184138787,0.815861213
242,53.65,968,"2,6",0.418070153,0.581929847,79.74,968,"8,1",0.051506528,0.948493472
243,57.25,972,"3,0",0.683308062,0.316691938,62.72,972,"7,2",0.138779091,0.861220909
244,55.19,976,"5,2",0.473865853,0.526134147,80.91,976,"6,9",0.184692352,0.815307648
245,68.62,980,"7,8",0.36755183,0.63244817,72.94,980,"7,4",0.050810204,0.949189796
246,61.21,984,"2,5",0.347222059,0.652777941,68.26,984,"9,5",0.072905504,0.927094496
247,63.4,988,"6,1",0.467088033,0.532911967,70.29,988,"8,3",0.157373034,0.842626966
248,53.71,992,"7,3",0.377457717,0.622542283,78.31,992,"5,1",0.189594427,0.810405573
249,61.66,996,"4,1",0.459943591,0.540056409,64.68,996,"2,6",0.244795128,0.755204872
250,59.82,1000,"2,5",0.373139317,0.626860683,84.39,1000,"8,6",0.161180906,0.838819094
251,60.15,1004,"3,0",0.507702983,0.492297017,86.06,1004,"7,9",0.191887592,0.808112408
252,58.71,1008,"4,5",0.488548872,0.511451128,75.41,1008,"8,4",0.066871373,0.933128627
253,62.13,1012,"9,6",0.401172602,0.598827398,84.86,1012,"9,7",0.073782449,0.926217551
254,63.66,1016,"4,1",0.496999288,0.503000712,74.25,1016,"8,4",0.104030021,0.895969979
255,52.31,1020,"8,5",0.242651701,0.757348299,67.71,1020,"9,5",0.065906208,0.934093792
256,60.62,1024,"2,3",0.442492402,0.557507598,79.22,1024,"8,0",0.185257854,0.814742146
257,57.3,1028,"4,2",0.573750787,0.426249213,80.57,1028,"2,3",0.065644016,0.934355984
258,59.04,1032,"5,0",0.570355373,0.429644627,80.52,1032,"1,9",0.166141866,0.833858134
259,58.31,1036,"3,1",0.504624866,0.495375134,63.65,1036,"2,8",0.057143393,0.942856607
260,56.5,1040,"5,2",0.476771438,0.523228562,80.84,1040,"6,9",0.178079183,0.821920817
261,51.85,1044,"3,9",0.459180484,0.540819516,69.73,1044,"7,3",0.152136169,0.847863831
262,57.54,1048,"2,1",0.461751672,0.538248328,79.04,1048,"0,1",,
263,51.62,1052,"5,6",0.369668792,0.630331208,80.63,1052,"2,5",0.073357515,0.926642485
264,54.41,1056,"8,3",0.31088435,0.68911565,75.14,1056,"8,4",0.096924817,0.903075183
265,56.8,1060,"2,4",0.534878725,0.465121275,85.51,1060,"9,7",0.080328085,0.919671915
266,62.44,1064,"9,7",0.38304826,0.61695174,63.72,1064,"8,2",0.114597781,0.885402219
267,63.17,1068,"4,3",0.32479282,0.67520718,71.99,1068,"6,4",0.143066149,0.856933851
268,62.36,1072,"5,2",0.391520862,0.608479138,69.6,1072,"9,3",0.053187974,0.946812026
269,59.3,1076,"4,8",0.379147675,0.620852325,76.69,1076,"8,1",0.067767399,0.932232601
270,52.26,1080,"7,3",0.510131615,0.489868385,64.78,1080,"7,2",0.134289204,0.865710796
271,58.91,1084,"2,4",0.613139723,0.386860277,81.89,1084,"8,7",0.155197969,0.844802031
272,62.25,1088,"0,9",0.412328871,0.587671129,79.73,1088,"8,9",0.057669097,0.942330903
273,64.12,1092,"5,1",0.381326117,0.618673883,71.83,1092,"7,5",0.053729489,0.946270511
274,56.07,1096,"8,2",0.333652278,0.666347722,71.61,1096,"3,8",0.177063445,0.822936555
275,54.18,1100,"3,6",0.319498769,0.680501231,78.46,1100,"1,8",0.216093507,0.783906493
276,56.65,1104,"9,2",0.451616551,0.548383449,68.68,1104,"2,8",0.068589347,0.931410653
277,61.89,1108,"5,3",0.324124464,0.675875536,81.6,1108,"6,9",0.241585675,0.758414325
278,57.5,1112,"4,5",0.434916769,0.565083231,85.33,1112,"7,8",0.05906751,0.94093249
279,57.11,1116,"3,0",0.514697726,0.485302274,81.85,1116,"9,0",0.057593414,0.942406586
280,58.34,1120,"2,5",0.536563461,0.463436539,80.96,1120,"2,5",0.061106904,0.938893096
