Round,Accuracy,Total communication counts,Selected Clients,GRC Weight - Loss,GRC Weight - Diff,Global Use LoRA,Selection Use LoRA,Training Use LoRA,LoRA Rank,LoRA Alpha
177,38.87,708,"1,3",0.5737960971765165,0.42620390282348347,False,False,False,8,0.5
178,38.84,712,"1,3",0.6071885808840011,0.39281141911599887,False,False,False,8,0.5
179,38.83,716,"1,3",0.6000750146548861,0.39992498534511395,False,False,False,8,0.5
180,38.82,720,"1,3",0.6450590415480728,0.35494095845192714,False,False,False,8,0.5
181,38.769999999999996,724,"1,3",0.5732485827540698,0.4267514172459302,False,False,False,8,0.5
182,38.73,728,"1,3",0.5837664086040689,0.416233591395931,False,False,False,8,0.5
183,38.690000000000005,732,"1,3",0.5919216827359007,0.40807831726409927,False,False,False,8,0.5
184,38.65,736,"1,3",0.6023500275575401,0.3976499724424599,False,False,False,8,0.5
185,38.62,740,"1,3",0.6414118765385715,0.3585881234614285,False,False,False,8,0.5
186,38.6,744,"1,3",0.5656419113729609,0.4343580886270391,False,False,False,8,0.5
187,38.58,748,"1,3",0.5481720175338028,0.45182798246619715,False,False,False,8,0.5
188,38.53,752,"1,3",0.6965942177470502,0.3034057822529498,False,False,False,8,0.5
189,38.519999999999996,756,"1,3",0.639649088652904,0.36035091134709596,False,False,False,8,0.5
190,38.51,760,"1,3",0.6688477182059851,0.33115228179401496,False,False,False,8,0.5
191,38.51,764,"1,3",0.6264161214866519,0.37358387851334807,False,False,False,8,0.5
192,38.5,768,"1,3",0.5428085977940459,0.45719140220595417,False,False,False,8,0.5
193,38.48,772,"1,3",0.6420474324934348,0.35795256750656523,False,False,False,8,0.5
194,38.41,776,"1,3",0.6221218583722058,0.37787814162779415,False,False,False,8,0.5
195,38.41,780,"1,3",0.5815580604876064,0.41844193951239356,False,False,False,8,0.5
196,38.34,784,"1,3",0.6167003615426317,0.38329963845736825,False,False,False,8,0.5
197,38.33,788,"1,3",0.6375080230850468,0.3624919769149532,False,False,False,8,0.5
198,38.29,792,"1,3",0.6778848268413411,0.32211517315865895,False,False,False,8,0.5
199,38.269999999999996,796,"1,3",0.5817620676431379,0.41823793235686213,False,False,False,8,0.5
200,38.23,800,"1,3",0.6444978552207837,0.35550214477921627,False,False,False,8,0.5
201,38.16,804,"1,3",0.5846008155472793,0.4153991844527207,False,False,False,8,0.5
202,38.129999999999995,808,"1,3",0.6449856409226401,0.35501435907735984,False,False,False,8,0.5
203,38.11,812,"1,3",0.6459654478339403,0.3540345521660597,False,False,False,8,0.5
204,38.05,816,"1,3",0.6167577940353777,0.38324220596462233,False,False,False,8,0.5
205,46.62,820,"2,1",0.5306624301559792,0.46933756984402075,False,False,False,8,0.5
206,57.64,824,"1,6",0.6941427909191333,0.3058572090808667,False,False,False,8,0.5
207,46.7,828,"2,8",0.4218439802869409,0.5781560197130591,False,False,False,8,0.5
208,55.81,832,"3,1",0.45884684252609564,0.5411531574739044,False,False,False,8,0.5
209,69.17999999999999,836,"6,5",0.4190613406962925,0.5809386593037076,False,False,False,8,0.5
210,67.66,840,"8,3",0.375642858818023,0.624357141181977,False,False,False,8,0.5
211,69.15,844,"5,9",0.3427810334042331,0.657218966595767,False,False,False,8,0.5
212,70.3,848,"8,7",0.31098213840265865,0.6890178615973414,False,False,False,8,0.5
