Experiment,Round,Accuracy,Total communication counts,Selected Clients,GRC Weight - Loss,GRC Weight - Diff,Avg T-FLOPs
"Exp_B: grc=True, freeze=False",32,21.12,128,"1,0",0.7419320940293382,0.2580679059706617,3578880.0
"Exp_B: grc=True, freeze=False",33,21.12,132,"1,0",0.7445136493065878,0.25548635069341225,3578880.0
"Exp_B: grc=True, freeze=False",34,21.12,136,"1,0",0.7482774380605903,0.2517225619394096,3578880.0
"Exp_B: grc=True, freeze=False",35,21.12,140,"1,0",0.7440702841299751,0.25592971587002483,3578880.0
"Exp_B: grc=True, freeze=False",36,21.12,144,"1,0",0.7254545169159454,0.2745454830840545,3578880.0
"Exp_B: grc=True, freeze=False",37,21.12,148,"1,0",0.7399428562042824,0.2600571437957176,3578880.0
"Exp_B: grc=True, freeze=False",38,21.12,152,"1,0",0.75017476502389,0.24982523497610998,3578880.0
"Exp_B: grc=True, freeze=False",39,21.12,156,"1,0",0.7453363679964282,0.2546636320035718,3578880.0
"Exp_B: grc=True, freeze=False",40,21.12,160,"1,0",0.7575017120715472,0.24249828792845282,3578880.0
"Exp_B: grc=True, freeze=False",41,21.12,164,"1,0",0.7381028714717275,0.26189712852827257,3578880.0
"Exp_B: grc=True, freeze=False",42,21.12,168,"1,0",0.7387268241210223,0.26127317587897775,3578880.0
"Exp_B: grc=True, freeze=False",43,21.12,172,"1,0",0.7411083190025722,0.25889168099742776,3578880.0
"Exp_B: grc=True, freeze=False",44,21.12,176,"1,0",0.7545609696507042,0.24543903034929576,3578880.0
"Exp_B: grc=True, freeze=False",45,21.12,180,"1,0",0.7447586205023774,0.25524137949762254,3578880.0
"Exp_B: grc=True, freeze=False",46,21.12,184,"1,0",0.7541170811805606,0.24588291881943936,3578880.0
"Exp_B: grc=True, freeze=False",47,21.12,188,"1,0",0.7520582016707668,0.24794179832923322,3578880.0
"Exp_B: grc=True, freeze=False",48,21.12,192,"1,0",0.7325559133504728,0.26744408664952724,3578880.0
"Exp_B: grc=True, freeze=False",49,21.12,196,"1,0",0.743640946186461,0.25635905381353896,3578880.0
"Exp_B: grc=True, freeze=False",50,21.12,200,"1,0",0.7442062499262462,0.2557937500737538,3578880.0
"Exp_B: grc=True, freeze=False",51,21.12,204,"1,0",0.7566095255697926,0.24339047443020742,3578880.0
"Exp_B: grc=True, freeze=False",52,21.12,208,"1,0",0.7527708547010274,0.2472291452989726,3578880.0
"Exp_B: grc=True, freeze=False",53,21.12,212,"1,0",0.7497133436753614,0.2502866563246387,3578880.0
"Exp_B: grc=True, freeze=False",54,21.12,216,"1,0",0.7636256076590168,0.2363743923409832,3578880.0
"Exp_B: grc=True, freeze=False",55,21.12,220,"1,0",0.7541362089883716,0.24586379101162836,3578880.0
"Exp_B: grc=True, freeze=False",56,21.12,224,"1,0",0.7535674136296815,0.24643258637031848,3578880.0
"Exp_B: grc=True, freeze=False",57,21.12,228,"1,0",0.7505353229014162,0.2494646770985838,3578880.0
"Exp_B: grc=True, freeze=False",58,21.12,232,"1,0",0.7463964896927152,0.2536035103072848,3578880.0
"Exp_B: grc=True, freeze=False",59,21.12,236,"1,0",0.7204734155465744,0.27952658445342554,3578880.0
"Exp_B: grc=True, freeze=False",60,21.12,240,"1,0",0.7514577072585242,0.24854229274147574,3578880.0
"Exp_B: grc=True, freeze=False",61,21.12,244,"1,0",0.744421778987734,0.255578221012266,3578880.0
"Exp_B: grc=True, freeze=False",62,21.12,248,"1,0",0.7548195478587105,0.24518045214128953,3578880.0
"Exp_B: grc=True, freeze=False",63,21.12,252,"1,0",0.7621264741378826,0.23787352586211738,3578880.0
"Exp_B: grc=True, freeze=False",64,21.12,256,"1,0",0.7541758988182862,0.24582410118171383,3578880.0
"Exp_B: grc=True, freeze=False",65,21.12,260,"1,0",0.752449836360844,0.2475501636391561,3578880.0
"Exp_B: grc=True, freeze=False",66,21.12,264,"1,0",0.758916483299459,0.24108351670054096,3578880.0
"Exp_B: grc=True, freeze=False",67,21.12,268,"1,0",0.7462128754073969,0.25378712459260305,3578880.0
"Exp_B: grc=True, freeze=False",68,21.12,272,"1,0",0.7399705535593947,0.2600294464406054,3578880.0
"Exp_B: grc=True, freeze=False",69,21.12,276,"1,0",0.7649931077212605,0.23500689227873947,3578880.0
"Exp_B: grc=True, freeze=False",70,21.12,280,"1,0",0.7605091634006867,0.23949083659931325,3578880.0
